strategy,target_r,trades,win_rate,breakeven_wr,edge_pp,pf,exp_r
fair_value_gap,1.0,8969,50.56,50.0,0.6,0.911,-0.048
fair_value_gap,1.5,8550,41.79,40.0,1.8,0.944,-0.0357
fair_value_gap,2.0,8168,36.68,33.3,3.3,0.97,-0.0216
fair_value_gap,2.5,7909,33.65,28.6,5.1,0.995,-0.0052
fair_value_gap,3.0,7710,31.79,25.0,6.8,1.017,0.0117
liquidity_sweep,1.0,24,33.33,50.0,-16.7,0.603,-0.1853
liquidity_sweep,1.5,24,29.17,40.0,-10.8,0.689,-0.1456
liquidity_sweep,2.0,24,29.17,33.3,-4.2,0.81,-0.0884
liquidity_sweep,2.5,24,29.17,28.6,0.6,0.814,-0.0871
liquidity_sweep,3.0,24,29.17,25.0,4.2,0.858,-0.0664
order_block,1.0,4444,47.03,50.0,-3.0,0.762,-0.1351
order_block,1.5,4315,38.59,40.0,-1.4,0.802,-0.1279
order_block,2.0,4199,34.01,33.3,0.7,0.848,-0.1034
order_block,2.5,4108,30.84,28.6,2.3,0.874,-0.09
order_block,3.0,4034,28.83,25.0,3.8,0.891,-0.0788
failed_breakout,1.0,10264,47.24,50.0,-2.8,0.809,-0.1034
failed_breakout,1.5,9679,38.27,40.0,-1.7,0.803,-0.123
failed_breakout,2.0,9496,34.52,33.3,1.2,0.819,-0.118
failed_breakout,2.5,9379,32.72,28.6,4.1,0.826,-0.1154
failed_breakout,3.0,9263,31.98,25.0,7.0,0.834,-0.1104
donchian_breakout,1.0,3891,54.79,50.0,4.8,1.127,0.0578
donchian_breakout,1.5,3326,46.87,40.0,6.9,1.185,0.0973
donchian_breakout,2.0,3036,43.45,33.3,10.1,1.254,0.1417
donchian_breakout,2.5,2864,41.79,28.6,13.2,1.319,0.1826
donchian_breakout,3.0,2754,41.18,25.0,16.2,1.349,0.2015
vol_expansion,1.0,2942,54.55,50.0,4.5,1.112,0.0488
vol_expansion,1.5,2655,47.65,40.0,7.6,1.194,0.0995
vol_expansion,2.0,2499,44.54,33.3,11.2,1.259,0.1391
vol_expansion,2.5,2393,42.54,28.6,14.0,1.284,0.1579
vol_expansion,3.0,2324,42.17,25.0,17.2,1.33,0.186
keltner_trend,1.0,3950,54.13,50.0,4.1,1.104,0.0472
keltner_trend,1.5,3363,46.63,40.0,6.6,1.165,0.0872
keltner_trend,2.0,3049,43.69,33.3,10.4,1.24,0.133
keltner_trend,2.5,2843,42.42,28.6,13.8,1.294,0.1654
keltner_trend,3.0,2734,41.48,25.0,16.5,1.297,0.1696
momentum_persistence,1.0,879,50.28,50.0,0.3,0.958,-0.017
momentum_persistence,1.5,877,47.21,40.0,7.2,1.104,0.0484
momentum_persistence,2.0,877,46.75,33.3,13.4,1.191,0.0887
momentum_persistence,2.5,876,46.46,28.6,17.9,1.251,0.1168
momentum_persistence,3.0,877,46.29,25.0,21.3,1.248,0.1162
opening_range,1.0,14134,52.16,50.0,2.2,0.952,-0.0255
opening_range,1.5,13648,42.54,40.0,2.5,0.985,-0.0095
opening_range,2.0,13049,35.98,33.3,2.6,0.986,-0.0084
opening_range,2.5,12525,31.85,28.6,3.3,0.998,-0.0008
opening_range,3.0,12092,29.44,25.0,4.4,1.024,0.018
squeeze_breakout,1.0,5219,53.31,50.0,3.3,1.03,0.0153
squeeze_breakout,1.5,4784,43.42,40.0,3.4,1.034,0.0213
squeeze_breakout,2.0,4585,38.17,33.3,4.8,1.053,0.0362
squeeze_breakout,2.5,4496,35.28,28.6,6.7,1.072,0.0506
squeeze_breakout,3.0,4451,33.5,25.0,8.5,1.068,0.0494
